id,key,value,type
149525040,power,tower,regular
149525044,power,tower,regular
149525046,power,tower,regular
149525048,power,tower,regular
149525050,power,tower,regular
149525052,power,tower,regular
149525054,power,tower,regular
149525056,power,tower,regular
149525058,power,tower,regular
149525060,power,tower,regular
149525075,power,tower,regular
149525077,power,tower,regular
149525079,power,tower,regular
149525083,power,tower,regular
149525085,power,tower,regular
149525089,power,tower,regular
149525091,power,tower,regular
149525093,power,tower,regular
149525097,power,tower,regular
149525099,power,tower,regular
149525232,highway,turning_circle,regular
149525271,highway,turning_circle,regular
149525493,highway,motorway_junction,regular
149525493,ref,141,regular
149525850,highway,traffic_signals,regular
149526971,highway,motorway_junction,regular
149526971,noref,yes,regular
149527328,highway,motorway_junction,regular
149527328,ref,3,regular
149527451,railway,level_crossing,regular
149527493,highway,traffic_signals,regular
149527760,highway,crossing,regular
149527990,highway,motorway_junction,regular
149527990,ref,32,regular
149528236,highway,motorway_junction,regular
149528236,ref,39,regular
149528673,highway,motorway_junction,regular
149528673,ref,49,regular
149528682,highway,motorway_junction,regular
149528682,noref,yes,regular
149529140,highway,motorway_junction,regular
149529140,ref,1,regular
149529537,highway,motorway_junction,regular
149529537,noref,yes,regular
149529792,highway,turning_circle,regular
149530042,highway,motorway_junction,regular
149530042,ref,138A-B,regular
149530146,highway,motorway_junction,regular
149530146,ref,44,regular
149530298,highway,motorway_junction,regular
149530298,noref,yes,regular
149530342,highway,motorway_junction,regular
149530342,noref,yes,regular
149530475,highway,turning_circle,regular
149530518,highway,turning_circle,regular
149530519,highway,turning_circle,regular
149530521,access,private,regular
149530521,barrier,gate,regular
149530807,highway,turning_circle,regular
149530875,highway,turning_circle,regular
149531018,highway,turning_circle,regular
149531143,highway,turning_circle,regular
149531195,highway,turning_circle,regular
149531195,source,Yahoo,regular
149531325,highway,turning_circle,regular
149531438,highway,turning_circle,regular
149531609,highway,turning_circle,regular
149531688,highway,turning_circle,regular
149531691,highway,turning_circle,regular
149531692,highway,traffic_signals,regular
149531789,highway,motorway_junction,regular
149531789,noref,yes,regular
149532066,highway,turning_circle,regular
149532257,barrier,gate,regular
149532473,highway,turning_circle,regular
149532577,highway,turning_circle,regular
149532628,highway,turning_circle,regular
149532674,highway,turning_circle,regular
149532685,highway,turning_circle,regular
149532691,highway,turning_circle,regular
149532743,highway,traffic_signals,regular
149532972,highway,turning_circle,regular
149533067,highway,turning_circle,regular
149533128,highway,turning_circle,regular
149533296,highway,turning_circle,regular
149533424,highway,turning_circle,regular
149533441,highway,turning_circle,regular
149533471,highway,turning_circle,regular
149533548,highway,turning_circle,regular
149533956,highway,turning_circle,regular
149533956,source,Yahoo,regular
149534203,highway,turning_circle,regular
149534209,highway,turning_circle,regular
149534211,highway,turning_circle,regular
149534240,highway,turning_circle,regular
149534276,highway,traffic_signals,regular
149534280,highway,traffic_signals,regular
149534370,highway,turning_circle,regular
149534393,highway,turning_circle,regular
149534395,highway,turning_circle,regular
149534779,highway,turning_circle,regular
149534789,highway,turning_circle,regular
149534904,highway,turning_circle,regular
